# http://www.cl.cam.ac.uk/~mgk25/ucs/keysyms.txt 
# Mapping of X11 keysyms to ISO 10646 / Unicode
#
# The "X11 Window System Protocol" standard (Release 6.4) defines in
# Appendix A the keysym codes. These 29-bit integer values identify
# characters or functions associated with each key (e.g., via the
# visible engraving) of a keyboard layout. In addition, mnemonic macro
# names are provided for the keysyms in the C header file
# <X11/keysymdef.h>. These are compiled (by xc/lib/X11/util/
# makekeys.c) into a hash table that can be accessed with X11 library
# functions such as XStringToKeysym() and XKeysymToString().
#
# The creation of the keysym codes predates ISO 10646 / Unicode, but
# they represent a similar attempt to merge several existing coded
# character sets (mostly early drafts of ISO 8859, as well as some --
# long since forgotten -- DEC font encodings). X.Org and XFree86 have
# agreed that for any future extension of the keysyms with characters
# already found in ISO 10646 / Unicode, the following algorithm will
# be used. The new keysym code position will simply be the character's
# Unicode number plus 0x01000000. The keysym codes in the range
# 0x01000100 0x0110ffff are now reserved to represent Unicode
# characters in the range U0100 to U10FFFF. (Note that the ISO 8859-1
# characters that make up Unicode positions below U0100 are excluded
# from this rule, as they are already covered by the keysyms of the
# same value.)
#
# While most newer Unicode-based X11 clients do already accept
# Unicode-mapped keysyms in the range 0x01000100 to 0x0110ffff, it
# will remain necessary for clients -- in the interest of
# compatibility with existing servers -- to also understand the
# existing keysym values. Clients can use the table below to map the
# pre-Unicode keysym values (0x0100 to 0x20ff) to the corresponding
# Unicode characters for further processing.
#
# The following fields are used in this mapping table:
#
# 1    The hexadecimal X11 keysym number (as defined in Appendix A of
#      the X11 protocol specification and as listed in <X11/keysymdef.h>)
#
# 2    The corresponding Unicode position
#      (U0000 means that there is no equivalent Unicode character)
#
# 3    Status of this keysym and its Unicode mapping
#
#         .  regular -- This is a regular well-established keysym with
#            a straightforward Unicode equivalent (e.g., any keysym
#            derived from ISO 8859). There can be at most one regular
#            keysym associated with each Unicode character.
#
#         d  duplicate -- This keysym has the same Unicode mapping as
#            another one with status 'regular'. It represents a case
#            where keysyms distinguish between several characters that
#            Unicode has unified into a single one (examples are
#            several APL symbols)
#
#         o  obsolete -- While it may be possible to find a Unicode of
#            similar name, the exact semantics of this keysym are
#            unclear, because the font or character set from which it
#            came has never been widely used. Examples are various
#            symbols from the DEC Publishing character set, which may
#            have been used in a special font shipped with the
#            DECwrite product. Where no similar Unicode character
#            can be identified, U0000 is used in column 2.
#
#         f  function -- While it may be possible to find a Unicode
#            of similar name, this keysym differs semantically
#            substantially from the corresponding Unicode character,
#            because it describes a particular function key or will
#            first have to be processed by an input method that will
#            translate it into a proper stream of Unicode characters.
#
#         r  remove -- This is a bogus keysym that was added in error,
#            is not used in any known keyboard layout, and should be
#            removed from both <X11/keysymdef.h> and the standard.
#
#         u  unicode-remap -- This keysym was added rather recently to
#            the <X11/keysymdef.h> of XFree86, but into a number range
#            reserved for future extensions of the standard by
#            X.Org. It is not widely used at present, but its name
#            appears to be sufficiently useful and it should therefore
#            be directly mapped to Unicode in the 0x1xxxxxx range in
#            future versions of <X11/keysymdef.h>. This way, the macro
#            name will be preserved, but the standard will not have to
#            be extended.
#
#      Recommendations for using the keysym status:
#
#        - All keysyms with status regular, duplicate, obsolete and
#          function should be listed in Appendix A of the X11 protocol
#          spec.
#
#        - All keysyms except for those with status remove should be
#          listed in <X11/keysymdef.h>.
#
#        - Keysyms with status duplicate, obsolete, and remove should
#          not be used in future keyboard layouts, as there are other
#          keysyms with status regular, function and unicode-remap
#          that give access to the same Unicode characters.
#
#        - Keysym to Unicode conversion tables in clients should include
#          all mappings except those with status function and those
#          with U0000.
#
# #    comment marker
#
# 4    the name of the X11 keysym macro without the leading XK_,
#      as defined in <X11/keysymdef.h>
#
# The last columns may be followed by comments copied from <X11/keysymdef.h>.
# A keysym may be listed several times, if there are several macro names
# associated with it in <X11/keysymdef.h>.
#
# Author: Markus Kuhn <http://www.cl.cam.ac.uk/~mgk25/>
# Date:   2004-08-08
#
# This table evolved out of an earlier one by Richard Verhoeven, TU Eindhoven.
#
# We begin with the original keysyms found in X11R6.4
#
0x0020   U0020   .   # space
0xfe24   U0000   f   # ISO_Partial_Line_Down
0xfe25   U0000   f   # ISO_Partial_Space_Left
0xfe26   U0000   f   # ISO_Partial_Space_Right
0xfe27   U0000   f   # ISO_Set_Margin_Left
0xfe28   U0000   f   # ISO_Set_Margin_Right
0xfe29   U0000   f   # ISO_Release_Margin_Left
0xfe2a   U0000   f   # ISO_Release_Margin_Right
0xfe2b   U0000   f   # ISO_Release_Both_Margins
0xfe2c   U0000   f   # ISO_Fast_Cursor_Left
0xfe2d   U0000   f   # ISO_Fast_Cursor_Right
0xfe2e   U0000   f   # ISO_Fast_Cursor_Up
0xfe2f   U0000   f   # ISO_Fast_Cursor_Down
0xfe30   U0000   f   # ISO_Continuous_Underline
0xfe31   U0000   f   # ISO_Discontinuous_Underline
0xfe32   U0000   f   # ISO_Emphasize
0xfe33   U0000   f   # ISO_Center_Object
0xfe34   U0000   f   # ISO_Enter
0xfe50   U0300   f   # dead_grave
0xfe51   U0301   f   # dead_acute
0xfe52   U0302   f   # dead_circumflex
0xfe53   U0303   f   # dead_tilde
0xfe54   U0304   f   # dead_macron
0xfe55   U0306   f   # dead_breve
0xfe56   U0307   f   # dead_abovedot
0xfe57   U0308   f   # dead_diaeresis
0xfe58   U030a   f   # dead_abovering
0xfe59   U030b   f   # dead_doubleacute
0xfe5a   U030c   f   # dead_caron
0xfe5b   U0327   f   # dead_cedilla
0xfe5c   U0328   f   # dead_ogonek
0xfe5d   U0345   f   # dead_iota
0xfe5e   U3099   f   # dead_voiced_sound
0xfe5f   U309a   f   # dead_semivoiced_sound
0xfe70   U0000   f   # AccessX_Enable
0xfe71   U0000   f   # AccessX_Feedback_Enable
0xfe72   U0000   f   # RepeatKeys_Enable
0xfe73   U0000   f   # SlowKeys_Enable
0xfe74   U0000   f   # BounceKeys_Enable
0xfe75   U0000   f   # StickyKeys_Enable
0xfe76   U0000   f   # MouseKeys_Enable
0xfe77   U0000   f   # MouseKeys_Accel_Enable
0xfe78   U0000   f   # Overlay1_Enable
0xfe79   U0000   f   # Overlay2_Enable
0xfe7a   U0000   f   # AudibleBell_Enable
0xfed0   U0000   f   # First_Virtual_Screen
0xfed1   U0000   f   # Prev_Virtual_Screen
0xfed2   U0000   f   # Next_Virtual_Screen
0xfed4   U0000   f   # Last_Virtual_Screen
0xfed5   U0000   f   # Terminate_Server
0xfee0   U0000   f   # Pointer_Left
0xfee1   U0000   f   # Pointer_Right
0xfee2   U0000   f   # Pointer_Up
0xfee3   U0000   f   # Pointer_Down
0xfee4   U0000   f   # Pointer_UpLeft
0xfee5   U0000   f   # Pointer_UpRight
0xfee6   U0000   f   # Pointer_DownLeft
0xfee7   U0000   f   # Pointer_DownRight
0xfee8   U0000   f   # Pointer_Button_Dflt
0xfee9   U0000   f   # Pointer_Button1
0xfeea   U0000   f   # Pointer_Button2
0xfeeb   U0000   f   # Pointer_Button3
0xfeec   U0000   f   # Pointer_Button4
0xfeed   U0000   f   # Pointer_Button5
0xfeee   U0000   f   # Pointer_DblClick_Dflt
0xfeef   U0000   f   # Pointer_DblClick1
0xfef0   U0000   f   # Pointer_DblClick2
0xfef1   U0000   f   # Pointer_DblClick3
0xfef2   U0000   f   # Pointer_DblClick4
0xfef3   U0000   f   # Pointer_DblClick5
0xfef4   U0000   f   # Pointer_Drag_Dflt
0xfef5   U0000   f   # Pointer_Drag1
0xfef6   U0000   f   # Pointer_Drag2
0xfef7   U0000   f   # Pointer_Drag3
0xfef8   U0000   f   # Pointer_Drag4
0xfef9   U0000   f   # Pointer_EnableKeys
0xfefa   U0000   f   # Pointer_Accelerate
0xfefb   U0000   f   # Pointer_DfltBtnNext
0xfefc   U0000   f   # Pointer_DfltBtnPrev
0xfefd   U0000   f   # Pointer_Drag5
0xff08   U0008   f   # BackSpace	/* back space, back char */
0xff09   U0009   f   # Tab
0xff0a   U000a   f   # Linefeed	/* Linefeed, LF */
0xff0b   U000b   f   # Clear
0xff0d   U000d   f   # Return	/* Return, enter */
0xff13   U0013   f   # Pause	/* Pause, hold */
0xff14   U0014   f   # Scroll_Lock
0xff15   U0015   f   # Sys_Req
0xff1b   U001b   f   # Escape
0xff20   U0000   f   # Multi_key
0xff21   U0000   f   # Kanji
0xff22   U0000   f   # Muhenkan
0xff23   U0000   f   # Henkan_Mode
0xff24   U0000   f   # Romaji
0xff25   U0000   f   # Hiragana
0xff26   U0000   f   # Katakana
0xff27   U0000   f   # Hiragana_Katakana
0xff28   U0000   f   # Zenkaku
0xff29   U0000   f   # Hankaku
0xff2a   U0000   f   # Zenkaku_Hankaku
0xff2b   U0000   f   # Touroku
0xff2c   U0000   f   # Massyo
0xff2d   U0000   f   # Kana_Lock
0xff2e   U0000   f   # Kana_Shift
0xff2f   U0000   f   # Eisu_Shift
0xff30   U0000   f   # Eisu_toggle
0xff31   U0000   f   # Hangul
0xff32   U0000   f   # Hangul_Start
0xff33   U0000   f   # Hangul_End
0xff34   U0000   f   # Hangul_Hanja
0xff35   U0000   f   # Hangul_Jamo
0xff36   U0000   f   # Hangul_Romaja
0xff37   U0000   f   # Codeinput
0xff38   U0000   f   # Hangul_Jeonja
0xff39   U0000   f   # Hangul_Banja
0xff3a   U0000   f   # Hangul_PreHanja
0xff3b   U0000   f   # Hangul_PostHanja
0xff3c   U0000   f   # SingleCandidate
0xff3d   U0000   f   # MultipleCandidate
0xff3e   U0000   f   # PreviousCandidate
0xff3f   U0000   f   # Hangul_Special
0xff50   U0000   f   # Home
0xff51   U0000   f   # Left
0xff52   U0000   f   # Up
0xff53   U0000   f   # Right
0xff54   U0000   f   # Down
0xff55   U0000   f   # Prior
0xff56   U0000   f   # Next
0xff57   U0000   f   # End
0xff58   U0000   f   # Begin
0xff60   U0000   f   # Select
0xff61   U0000   f   # Print
0xff62   U0000   f   # Execute
0xff63   U0000   f   # Insert
0xff65   U0000   f   # Undo
0xff66   U0000   f   # Redo
0xff67   U0000   f   # Menu
0xff68   U0000   f   # Find
0xff69   U0000   f   # Cancel
0xff6a   U0000   f   # Help
0xff6b   U0000   f   # Break
0xff7e   U0000   f   # Mode_switch
0xff7f   U0000   f   # Num_Lock
0xff80   U0020   f   # KP_Space	/* space */
0xff89   U0009   f   # KP_Tab
0xff8d   U000d   f   # KP_Enter	/* enter */
0xff91   U0000   f   # KP_F1
0xff92   U0000   f   # KP_F2
0xff93   U0000   f   # KP_F3
0xff94   U0000   f   # KP_F4
0xff95   U0000   f   # KP_Home
0xff96   U0000   f   # KP_Left
0xff97   U0000   f   # KP_Up
0xff98   U0000   f   # KP_Right
0xff99   U0000   f   # KP_Down
0xff9a   U0000   f   # KP_Prior
0xff9b   U0000   f   # KP_Next
0xff9c   U0000   f   # KP_End
0xff9d   U0000   f   # KP_Begin
0xff9e   U0000   f   # KP_Insert
0xff9f   U0000   f   # KP_Delete
0xffaa   U002a   f   # KP_Multiply
0xffab   U002b   f   # KP_Add
0xffac   U002c   f   # KP_Separator	/* separator, often comma */
0xffad   U002d   f   # KP_Subtract
0xffae   U002e   f   # KP_Decimal
0xffaf   U002f   f   # KP_Divide
0xffb0   U0030   f   # KP_0
0xffb1   U0031   f   # KP_1
0xffb2   U0032   f   # KP_2
0xffb3   U0033   f   # KP_3
0xffb4   U0034   f   # KP_4
0xffb5   U0035   f   # KP_5
0xffb6   U0036   f   # KP_6
0xffb7   U0037   f   # KP_7
0xffb8   U0038   f   # KP_8
0xffb9   U0039   f   # KP_9
0xffbd   U003d   f   # KP_Equal	/* equals */
0xffbe   U0000   f   # F1
0xffbf   U0000   f   # F2
0xffc0   U0000   f   # F3
0xffc1   U0000   f   # F4
0xffc2   U0000   f   # F5
0xffc3   U0000   f   # F6
0xffc4   U0000   f   # F7
0xffc5   U0000   f   # F8
0xffc6   U0000   f   # F9
0xffc7   U0000   f   # F10
0xffc8   U0000   f   # F11
0xffc9   U0000   f   # F12
0xffca   U0000   f   # F13
0xffcb   U0000   f   # F14
0xffcc   U0000   f   # F15
0xffcd   U0000   f   # F16
0xffce   U0000   f   # F17
0xffcf   U0000   f   # F18
0xffd0   U0000   f   # F19
0xffd1   U0000   f   # F20
0xffd2   U0000   f   # F21
0xffd3   U0000   f   # F22
0xffd4   U0000   f   # F23
0xffd5   U0000   f   # F24
0xffd6   U0000   f   # F25
0xffd7   U0000   f   # F26
0xffd8   U0000   f   # F27
0xffd9   U0000   f   # F28
0xffda   U0000   f   # F29
0xffdb   U0000   f   # F30
0xffdc   U0000   f   # F31
0xffdd   U0000   f   # F32
0xffde   U0000   f   # F33
0xffdf   U0000   f   # F34
0xffe0   U0000   f   # F35
0xffe1   U0000   f   # Shift_L
0xffe2   U0000   f   # Shift_R
0xffe3   U0000   f   # Control_L
0xffe4   U0000   f   # Control_R
0xffe5   U0000   f   # Caps_Lock
0xffe6   U0000   f   # Shift_Lock
0xffe7   U0000   f   # Meta_L
0xffe8   U0000   f   # Meta_R
0xffe9   U0000   f   # Alt_L
0xffea   U0000   f   # Alt_R
0xffeb   U0000   f   # Super_L
0xffec   U0000   f   # Super_R
0xffed   U0000   f   # Hyper_L
0xffee   U0000   f   # Hyper_R
0xffff   U0000   f   # Delete
0xffffff U0000   f   # VoidSymbol

# Various XFree86 extensions since X11R6.4
# http://cvsweb.xfree86.org/cvsweb/xc/include/keysymdef.h

# KOI8-U support (Aleksey Novodvorsky, 1999-05-30)
# http://cvsweb.xfree86.org/cvsweb/xc/include/keysymdef.h.diff?r1=1.4&r2=1.5
# Used in XFree86's /usr/lib/X11/xkb/symbols/ua mappings

0x06ad   U0491   .   # Ukrainian_ghe_with_upturn
0x06bd   U0490   .   # Ukrainian_GHE_WITH_UPTURN

# Support for armscii-8, ibm-cp1133, mulelao-1, viscii1.1-1,
# tcvn-5712, georgian-academy, georgian-ps
# (#2843, Pablo Saratxaga <pablo@mandrakesoft.com>, 1999-06-06)
# http://cvsweb.xfree86.org/cvsweb/xc/include/keysymdef.h.diff?r1=1.6&r2=1.7

# Armenian
# (not used in any XFree86 4.4 kbd layouts, where /usr/lib/X11/xkb/symbols/am
# uses directly Unicode-mapped hexadecimal values instead)
0x14a1   U0000   r   # Armenian_eternity
0x14a2   U0587   u   # Armenian_ligature_ew
0x14a3   U0589   u   # Armenian_verjaket
0x14a4   U0029   r   # Armenian_parenright
0x14a5   U0028   r   # Armenian_parenleft
0x14a6   U00bb   r   # Armenian_guillemotright
0x14a7   U00ab   r   # Armenian_guillemotleft
0x14a8   U2014   r   # Armenian_em_dash
0x14a9   U002e   r   # Armenian_mijaket
0x14aa   U055d   u   # Armenian_but
0x14ab   U002c   r   # Armenian_comma
0x14ac   U2013   r   # Armenian_en_dash
0x14ad   U058a   u   # Armenian_yentamna
0x14ae   U2026   r   # Armenian_ellipsis
0x14af   U055c   u   # Armenian_amanak
0x14b0   U055b   u   # Armenian_shesht
0x14b1   U055e   u   # Armenian_paruyk
0x14b2   U0531   u   # Armenian_AYB
0x14b3   U0561   u   # Armenian_ayb
0x14b4   U0532   u   # Armenian_BEN
0x14b5   U0562   u   # Armenian_ben
0x14b6   U0533   u   # Armenian_GIM
0x14b7   U0563   u   # Armenian_gim
0x14b8   U0534   u   # Armenian_DA
0x14b9   U0564   u   # Armenian_da
0x14ba   U0535   u   # Armenian_YECH
0x14bb   U0565   u   # Armenian_yech
0x14bc   U0536   u   # Armenian_ZA
0x14bd   U0566   u   # Armenian_za
0x14be   U0537   u   # Armenian_E
0x14bf   U0567   u   # Armenian_e
0x14c0   U0538   u   # Armenian_AT
0x14c1   U0568   u   # Armenian_at
0x14c2   U0539   u   # Armenian_TO
0x14c3   U0569   u   # Armenian_to
0x14c4   U053a   u   # Armenian_ZHE
0x14c5   U056a   u   # Armenian_zhe
0x14c6   U053b   u   # Armenian_INI
0x14c7   U056b   u   # Armenian_ini
0x14c8   U053c   u   # Armenian_LYUN
0x14c9   U056c   u   # Armenian_lyun
0x14ca   U053d   u   # Armenian_KHE
0x14cb   U056d   u   # Armenian_khe
0x14cc   U053e   u   # Armenian_TSA
0x14cd   U056e   u   # Armenian_tsa
0x14ce   U053f   u   # Armenian_KEN
0x14cf   U056f   u   # Armenian_ken
0x14d0   U0540   u   # Armenian_HO
0x14d1   U0570   u   # Armenian_ho
0x14d2   U0541   u   # Armenian_DZA
0x14d3   U0571   u   # Armenian_dza
0x14d4   U0542   u   # Armenian_GHAT
0x14d5   U0572   u   # Armenian_ghat
0x14d6   U0543   u   # Armenian_TCHE
0x14d7   U0573   u   # Armenian_tche
0x14d8   U0544   u   # Armenian_MEN
0x14d9   U0574   u   # Armenian_men
0x14da   U0545   u   # Armenian_HI
0x14db   U0575   u   # Armenian_hi
0x14dc   U0546   u   # Armenian_NU
0x14dd   U0576   u   # Armenian_nu
0x14de   U0547   u   # Armenian_SHA
0x14df   U0577   u   # Armenian_sha
0x14e0   U0548   u   # Armenian_VO
0x14e1   U0578   u   # Armenian_vo
0x14e2   U0549   u   # Armenian_CHA
0x14e3   U0579   u   # Armenian_cha
0x14e4   U054a   u   # Armenian_PE
0x14e5   U057a   u   # Armenian_pe
0x14e6   U054b   u   # Armenian_JE
0x14e7   U057b   u   # Armenian_je
0x14e8   U054c   u   # Armenian_RA
0x14e9   U057c   u   # Armenian_ra
0x14ea   U054d   u   # Armenian_SE
0x14eb   U057d   u   # Armenian_se
0x14ec   U054e   u   # Armenian_VEV
0x14ed   U057e   u   # Armenian_vev
0x14ee   U054f   u   # Armenian_TYUN
0x14ef   U057f   u   # Armenian_tyun
0x14f0   U0550   u   # Armenian_RE
0x14f1   U0580   u   # Armenian_re
0x14f2   U0551   u   # Armenian_TSO
0x14f3   U0581   u   # Armenian_tso
0x14f4   U0552   u   # Armenian_VYUN
0x14f5   U0582   u   # Armenian_vyun
0x14f6   U0553   u   # Armenian_PYUR
0x14f7   U0583   u   # Armenian_pyur
0x14f8   U0554   u   # Armenian_KE
0x14f9   U0584   u   # Armenian_ke
0x14fa   U0555   u   # Armenian_O
0x14fb   U0585   u   # Armenian_o
0x14fc   U0556   u   # Armenian_FE
0x14fd   U0586   u   # Armenian_fe
0x14fe   U055a   u   # Armenian_apostrophe
0x14ff   U00a7   r   # Armenian_section_sign

# Gregorian
# (not used in any XFree86 4.4 kbd layouts, were /usr/lib/X11/xkb/symbols/ge_*
# uses directly Unicode-mapped hexadecimal values instead)
0x15d0   U10d0   u   # Georgian_an
0x15d1   U10d1   u   # Georgian_ban
0x15d2   U10d2   u   # Georgian_gan
0x15d3   U10d3   u   # Georgian_don
0x15d4   U10d4   u   # Georgian_en
0x15d5   U10d5   u   # Georgian_vin
0x15d6   U10d6   u   # Georgian_zen
0x15d7   U10d7   u   # Georgian_tan
0x15d8   U10d8   u   # Georgian_in
0x15d9   U10d9   u   # Georgian_kan
0x15da   U10da   u   # Georgian_las
0x15db   U10db   u   # Georgian_man
0x15dc   U10dc   u   # Georgian_nar
0x15dd   U10dd   u   # Georgian_on
0x15de   U10de   u   # Georgian_par
0x15df   U10df   u   # Georgian_zhar
0x15e0   U10e0   u   # Georgian_rae
0x15e1   U10e1   u   # Georgian_san
0x15e2   U10e2   u   # Georgian_tar
0x15e3   U10e3   u   # Georgian_un
0x15e4   U10e4   u   # Georgian_phar
0x15e5   U10e5   u   # Georgian_khar
0x15e6   U10e6   u   # Georgian_ghan
0x15e7   U10e7   u   # Georgian_qar
0x15e8   U10e8   u   # Georgian_shin
0x15e9   U10e9   u   # Georgian_chin
0x15ea   U10ea   u   # Georgian_can
0x15eb   U10eb   u   # Georgian_jil
0x15ec   U10ec   u   # Georgian_cil
0x15ed   U10ed   u   # Georgian_char
0x15ee   U10ee   u   # Georgian_xan
0x15ef   U10ef   u   # Georgian_jhan
0x15f0   U10f0   u   # Georgian_hae
0x15f1   U10f1   u   # Georgian_he
0x15f2   U10f2   u   # Georgian_hie
0x15f3   U10f3   u   # Georgian_we
0x15f4   U10f4   u   # Georgian_har
0x15f5   U10f5   u   # Georgian_hoe
0x15f6   U10f6   u   # Georgian_fi

# Pablo Saratxaga's i18n updates for XFree86 that are used in Mandrake 7.2.
# (#4195, Pablo Saratxaga <pablo@mandrakesoft.com>, 2000-10-27)
# http://cvsweb.xfree86.org/cvsweb/xc/include/keysymdef.h.diff?r1=1.9&r2=1.10

# Latin-8
# (the *abovedot keysyms are used in /usr/lib/X11/xkb/symbols/ie)
0x12a1   U1e02   u   # Babovedot
0x12a2   U1e03   u   # babovedot
0x12a6   U1e0a   u   # Dabovedot
0x12a8   U1e80   u   # Wgrave
0x12aa   U1e82   u   # Wacute
0x12ab   U1e0b   u   # dabovedot
0x12ac   U1ef2   u   # Ygrave
0x12b0   U1e1e   u   # Fabovedot
0x12b1   U1e1f   u   # fabovedot
0x12b4   U1e40   u   # Mabovedot
0x12b5   U1e41   u   # mabovedot
0x12b7   U1e56   u   # Pabovedot
0x12b8   U1e81   u   # wgrave
0x12b9   U1e57   u   # pabovedot
0x12ba   U1e83   u   # wacute
0x12bb   U1e60   u   # Sabovedot
0x12bc   U1ef3   u   # ygrave
0x12bd   U1e84   u   # Wdiaeresis
0x12be   U1e85   u   # wdiaeresis
0x12bf   U1e61   u   # sabovedot
0x12d0   U0174   u   # Wcircumflex
0x12d7   U1e6a   u   # Tabovedot
0x12de   U0176   u   # Ycircumflex
0x12f0   U0175   u   # wcircumflex
0x12f7   U1e6b   u   # tabovedot
0x12fe   U0177   u   # ycircumflex

# Arabic
# (of these, in XFree86 4.4 only Arabic_superscript_alef, Arabic_madda_above,
# Arabic_hamza_* are actually used, e.g. in /usr/lib/X11/xkb/symbols/syr)
0x0590   U06f0   u   # Farsi_0
0x0591   U06f1   u   # Farsi_1
0x0592   U06f2   u   # Farsi_2
0x0593   U06f3   u   # Farsi_3
0x0594   U06f4   u   # Farsi_4
0x0595   U06f5   u   # Farsi_5
0x0596   U06f6   u   # Farsi_6
0x0597   U06f7   u   # Farsi_7
0x0598   U06f8   u   # Farsi_8
0x0599   U06f9   u   # Farsi_9
0x05a5   U066a   u   # Arabic_percent
0x05a6   U0670   u   # Arabic_superscript_alef
0x05a7   U0679   u   # Arabic_tteh
0x05a8   U067e   u   # Arabic_peh
0x05a9   U0686   u   # Arabic_tcheh
0x05aa   U0688   u   # Arabic_ddal
0x05ab   U0691   u   # Arabic_rreh
0x05ae   U06d4   u   # Arabic_fullstop
0x05b0   U0660   u   # Arabic_0
0x05b1   U0661   u   # Arabic_1
0x05b2   U0662   u   # Arabic_2
0x05b3   U0663   u   # Arabic_3
0x05b4   U0664   u   # Arabic_4
0x05b5   U0665   u   # Arabic_5
0x05b6   U0666   u   # Arabic_6
0x05b7   U0667   u   # Arabic_7
0x05b8   U0668   u   # Arabic_8
0x05b9   U0669   u   # Arabic_9
0x05f3   U0653   u   # Arabic_madda_above
0x05f4   U0654   u   # Arabic_hamza_above
0x05f5   U0655   u   # Arabic_hamza_below
0x05f6   U0698   u   # Arabic_jeh
0x05f7   U06a4   u   # Arabic_veh
0x05f8   U06a9   u   # Arabic_keheh
0x05f9   U06af   u   # Arabic_gaf
0x05fa   U06ba   u   # Arabic_noon_ghunna
0x05fb   U06be   u   # Arabic_heh_doachashmee
0x05fc   U06cc   u   # Farsi_yeh
0x05fd   U06d2   u   # Arabic_yeh_baree
0x05fe   U06c1   u   # Arabic_heh_goal

# Cyrillic
# (none of these are actually used in any XFree86 4.4 kbd layouts)
0x0680   U0492   u   # Cyrillic_GHE_bar
0x0681   U0496   u   # Cyrillic_ZHE_descender
0x0682   U049a   u   # Cyrillic_KA_descender
0x0683   U049c   u   # Cyrillic_KA_vertstroke
0x0684   U04a2   u   # Cyrillic_EN_descender
0x0685   U04ae   u   # Cyrillic_U_straight
0x0686   U04b0   u   # Cyrillic_U_straight_bar
0x0687   U04b2   u   # Cyrillic_HA_descender
0x0688   U04b6   u   # Cyrillic_CHE_descender
0x0689   U04b8   u   # Cyrillic_CHE_vertstroke
0x068a   U04ba   u   # Cyrillic_SHHA
0x068c   U04d8   u   # Cyrillic_SCHWA
0x068d   U04e2   u   # Cyrillic_I_macron
0x068e   U04e8   u   # Cyrillic_O_bar
0x068f   U04ee   u   # Cyrillic_U_macron
0x0690   U0493   u   # Cyrillic_ghe_bar
0x0691   U0497   u   # Cyrillic_zhe_descender
0x0692   U049b   u   # Cyrillic_ka_descender
0x0693   U049d   u   # Cyrillic_ka_vertstroke
0x0694   U04a3   u   # Cyrillic_en_descender
0x0695   U04af   u   # Cyrillic_u_straight
0x0696   U04b1   u   # Cyrillic_u_straight_bar
0x0697   U04b3   u   # Cyrillic_ha_descender
0x0698   U04b7   u   # Cyrillic_che_descender
0x0699   U04b9   u   # Cyrillic_che_vertstroke
0x069a   U04bb   u   # Cyrillic_shha
0x069c   U04d9   u   # Cyrillic_schwa
0x069d   U04e3   u   # Cyrillic_i_macron
0x069e   U04e9   u   # Cyrillic_o_bar
0x069f   U04ef   u   # Cyrillic_u_macron

# Caucasus
# (of these, in XFree86 4.4 only Gcaron, gcaron are actually used,
# e.g. in /usr/lib/X11/xkb/symbols/sapmi; the lack of Unicode
# equivalents for the others suggests that they are bogus)
0x16a2   U0000   r   # Ccedillaabovedot
0x16a3   U1e8a   u   # Xabovedot
0x16a5   U0000   r   # Qabovedot
0x16a6   U012c   u   # Ibreve
0x16a7   U0000   r   # IE
0x16a8   U0000   r   # UO
0x16a9   U01b5   u   # Zstroke
0x16aa   U01e6   u   # Gcaron
0x16af   U019f   u   # Obarred
0x16b2   U0000   r   # ccedillaabovedot
0x16b3   U1e8b   u   # xabovedot
0x16b4   U0000   r   # Ocaron
0x16b5   U0000   r   # qabovedot
0x16b6   U012d   u   # ibreve
0x16b7   U0000   r   # ie
0x16b8   U0000   r   # uo
0x16b9   U01b6   u   # zstroke
0x16ba   U01e7   u   # gcaron
0x16bd   U01d2   u   # ocaron
0x16bf   U0275   u   # obarred
0x16c6   U018f   u   # SCHWA
0x16f6   U0259   u   # schwa

# Inupiak, Guarani
# (none of these are actually used in any XFree86 4.4 kbd layouts,
# and the lack of Unicode equivalents suggests that they are bogus)
0x16d1   U1e36   u   # Lbelowdot
0x16d2   U0000   r   # Lstrokebelowdot
0x16d3   U0000   r   # Gtilde
0x16e1   U1e37   u   # lbelowdot
0x16e2   U0000   r   # lstrokebelowdot
0x16e3   U0000   r   # gtilde

# Vietnamese
# (none of these are actually used in any XFree86 4.4 kbd layouts; they are
# also pointless, as Vietnamese input methods use dead accent keys + ASCII keys)
0x1ea0   U1ea0   u   # Abelowdot
0x1ea1   U1ea1   u   # abelowdot
0x1ea2   U1ea2   u   # Ahook
0x1ea3   U1ea3   u   # ahook
0x1ea4   U1ea4   u   # Acircumflexacute
0x1ea5   U1ea5   u   # acircumflexacute
0x1ea6   U1ea6   u   # Acircumflexgrave
0x1ea7   U1ea7   u   # acircumflexgrave
0x1ea8   U1ea8   u   # Acircumflexhook
0x1ea9   U1ea9   u   # acircumflexhook
0x1eaa   U1eaa   u   # Acircumflextilde
0x1eab   U1eab   u   # acircumflextilde
0x1eac   U1eac   u   # Acircumflexbelowdot
0x1ead   U1ead   u   # acircumflexbelowdot
0x1eae   U1eae   u   # Abreveacute
0x1eaf   U1eaf   u   # abreveacute
0x1eb0   U1eb0   u   # Abrevegrave
0x1eb1   U1eb1   u   # abrevegrave
0x1eb2   U1eb2   u   # Abrevehook
0x1eb3   U1eb3   u   # abrevehook
0x1eb4   U1eb4   u   # Abrevetilde
0x1eb5   U1eb5   u   # abrevetilde
0x1eb6   U1eb6   u   # Abrevebelowdot
0x1eb7   U1eb7   u   # abrevebelowdot
0x1eb8   U1eb8   u   # Ebelowdot
0x1eb9   U1eb9   u   # ebelowdot
